,easting,northing,elevation_od,chainage,fc,profile,reg_id,survey_unit,date,year,month
1347,307691.892,81960.246,1.508,191.64,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
3,307601.859,81970.733,-0.013,191.653,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1221,307601.831,81970.473,0.181,191.914,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
118,307601.879,81970.435,0.105,191.944,M,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1348,307691.787,81959.881,1.464,192.018,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1538,307601.735,81970.349,0.247,192.052,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
812,307601.858,81970.32,0.189,192.061,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
498,307601.835,81970.303,0.156,192.081,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
672,307601.835,81970.303,0.156,192.081,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
610,307601.848,81970.166,0.181,192.214,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
742,307601.812,81970.097,0.249,192.288,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
4,307601.812,81970.088,0.109,192.297,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
356,307601.822,81969.881,0.059,192.5,M,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1485,307601.808,81969.868,0.296,192.515,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
438,307601.663,81969.644,0.242,192.759,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1854,307691.591,81959.136,2.102,192.785,HW,6a01613,6a01613,6aSU12,2021-06-24,2021,6
387,307601.729,81969.579,0.247,192.813,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1641,307601.691,81969.482,0.437,192.915,GM,6a01615,6a01615,6aSU12,2023-05-07,2023,5
5,307601.746,81969.41,0.241,192.977,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1012,307553.14,81975.825,2.109,193.051,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1222,307601.672,81969.338,0.418,193.06,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
119,307601.683,81969.193,0.345,193.201,M,6a01615,6a01615,6aSU12,2017-05-10,2017,5
52,307691.556,81958.657,1.877,193.263,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
553,307601.627,81969.072,0.384,193.33,GS,6a01615,6a01615,6aSU12,2019-02-19,2019,2
357,307601.594,81968.997,0.347,193.409,M,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1539,307601.616,81968.934,0.558,193.468,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
1265,307601.588,81968.592,0.629,193.81,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
269,307553.021,81975.025,2.173,193.86,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1486,307601.549,81968.538,0.615,193.869,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
499,307601.576,81968.497,0.56,193.905,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
673,307601.576,81968.497,0.56,193.905,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1481,307553.065,81974.97,2.188,193.908,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
743,307601.554,81968.48,0.607,193.926,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
813,307601.49,81968.291,0.655,194.122,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1411,307601.441,81968.261,0.711,194.16,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
6,307601.483,81968.234,0.507,194.18,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
439,307601.465,81968.198,0.631,194.218,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
120,307601.476,81968.119,0.609,194.295,M,6a01615,6a01615,6aSU12,2017-05-10,2017,5
611,307601.526,81968.02,0.669,194.384,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
358,307601.421,81967.965,0.636,194.455,M,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1801,307552.936,81974.429,2.309,194.462,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
388,307601.515,81967.939,0.652,194.466,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1349,307691.305,81957.1,1.108,194.84,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
359,307601.373,81967.569,0.729,194.854,M,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1855,307691.262,81956.967,1.758,194.979,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1223,307601.368,81967.349,0.891,195.072,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1540,307601.372,81967.31,0.934,195.11,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
1013,307552.856,81973.772,2.416,195.124,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1487,307601.332,81967.245,0.928,195.18,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1591,307691.206,81956.552,1.769,195.397,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
360,307601.31,81966.703,1.002,195.719,M,6a01615,6a01615,6aSU12,2017-10-20,2017,10
814,307601.189,81966.718,1.083,195.723,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
925,307649.949,81961.101,0.389,195.884,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1642,307601.215,81966.55,1.137,195.885,GM,6a01615,6a01615,6aSU12,2023-05-07,2023,5
270,307552.741,81972.987,2.623,195.917,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
554,307601.239,81966.465,1.076,195.965,GS,6a01615,6a01615,6aSU12,2019-02-19,2019,2
612,307601.139,81966.236,1.167,196.207,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1482,307552.7,81972.677,2.691,196.23,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
121,307601.223,81966.176,1.168,196.253,M,6a01615,6a01615,6aSU12,2017-05-10,2017,5
389,307601.161,81966.164,1.165,196.275,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1266,307601.155,81966.064,1.234,196.374,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1051,307649.879,81960.611,0.472,196.379,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
205,307649.877,81960.592,-0.009,196.398,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
53,307691.043,81955.537,1.903,196.425,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
744,307601.163,81965.985,1.237,196.451,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
500,307601.18,81965.979,1.258,196.454,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
674,307601.18,81965.979,1.258,196.454,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1748,307649.808,81960.531,0.601,196.47,GM,6a01614,6a01614,6aSU12,2023-05-07,2023,5
815,307601.098,81965.953,1.275,196.493,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1412,307601.164,81965.932,1.299,196.503,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
440,307601.116,81965.854,1.299,196.588,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
7,307601.047,81965.707,1.297,196.744,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1488,307601.045,81965.665,1.344,196.786,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1541,307601.087,81965.442,1.401,196.999,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
361,307601.019,81965.293,1.448,197.157,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
926,307649.697,81959.806,0.642,197.203,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1052,307649.649,81959.721,0.664,197.295,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1224,307600.947,81965.05,1.529,197.409,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1489,307600.951,81964.971,1.551,197.486,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1014,307552.537,81971.398,2.799,197.519,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1350,307690.833,81954.361,0.725,197.62,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
8,307600.924,81964.616,1.639,197.841,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1802,307552.464,81971.043,2.883,197.881,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1856,307690.776,81954.087,1.378,197.899,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
362,307600.805,81964.364,1.755,198.108,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
271,307552.453,81970.687,2.886,198.235,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
363,307600.864,81964.175,1.798,198.286,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
441,307600.875,81964.121,1.794,198.337,FB,6a01615,6a01615,6aSU12,2018-10-25,2018,10
390,307600.845,81964.106,1.796,198.357,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
9,307600.821,81964.089,1.781,198.377,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
122,307600.829,81964.085,1.86,198.38,M,6a01615,6a01615,6aSU12,2017-05-10,2017,5
555,307600.862,81964.07,1.793,198.39,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
206,307649.479,81958.618,0.642,198.411,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
442,307600.829,81964.016,1.946,198.448,FB,6a01615,6a01615,6aSU12,2018-10-25,2018,10
10,307600.824,81964.0,1.893,198.465,SD,6a01615,6a01615,6aSU12,2016-09-16,2016,9
556,307600.863,81963.979,1.933,198.479,FB,6a01615,6a01615,6aSU12,2019-02-19,2019,2
364,307600.886,81963.964,1.946,198.491,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1483,307552.399,81970.407,3.048,198.52,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
123,307600.796,81963.886,1.992,198.582,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
557,307600.82,81963.858,1.984,198.606,FB,6a01615,6a01615,6aSU12,2019-02-19,2019,2
443,307600.735,81963.862,1.997,198.615,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
365,307600.81,81963.818,1.99,198.647,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
11,307600.812,81963.814,1.952,198.65,SD,6a01615,6a01615,6aSU12,2016-09-16,2016,9
391,307600.8,81963.8,2.002,198.666,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
558,307600.839,81963.756,2.0,198.703,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
1413,307600.751,81963.634,1.909,198.838,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
613,307600.723,81963.611,2.011,198.865,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
927,307649.396,81958.097,1.021,198.939,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
675,307600.718,81963.516,2.051,198.959,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
501,307600.718,81963.516,2.051,198.959,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1542,307600.761,81963.434,1.967,199.034,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
745,307600.756,81963.397,2.036,199.071,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1267,307600.755,81963.396,2.009,199.072,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
816,307600.758,81963.337,2.025,199.13,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1643,307600.67,81963.283,2.003,199.197,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
1490,307600.71,81963.26,1.99,199.214,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1414,307600.649,81963.129,2.025,199.352,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
54,307690.459,81952.509,1.823,199.508,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1592,307690.502,81952.495,1.615,199.515,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1225,307600.631,81962.817,2.071,199.663,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
676,307600.637,81962.794,2.099,199.685,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
502,307600.637,81962.794,2.099,199.685,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1749,307649.273,81957.261,1.254,199.783,GM,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1053,307649.153,81957.095,1.267,199.968,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1491,307600.638,81962.436,2.103,200.039,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
746,307600.513,81962.22,2.125,200.272,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1015,307552.172,81968.651,3.471,200.29,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
817,307600.576,81962.154,2.131,200.327,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
124,307600.518,81962.102,2.121,200.387,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
12,307600.566,81961.999,2.091,200.481,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
366,307600.57,81961.92,2.14,200.559,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
207,307649.114,81956.491,1.288,200.569,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
677,307600.489,81961.88,2.164,200.611,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
503,307600.489,81961.88,2.164,200.611,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
559,307600.446,81961.775,2.152,200.722,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
1351,307690.285,81951.289,0.27,200.74,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1543,307600.421,81961.731,2.217,200.769,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
614,307600.414,81961.705,2.18,200.796,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
392,307600.448,81961.653,2.193,200.842,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1803,307552.116,81968.052,3.678,200.891,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
444,307600.466,81961.549,2.213,200.942,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1857,307690.235,81951.066,0.85,200.968,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
272,307552.066,81967.917,3.774,201.032,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1268,307600.433,81961.421,2.251,201.073,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1484,307552.001,81967.846,3.797,201.111,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
928,307648.99,81955.91,1.525,201.163,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
747,307600.41,81961.299,2.248,201.197,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1415,307600.414,81961.236,2.283,201.259,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
560,307600.308,81960.67,2.435,201.835,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
125,307600.299,81960.639,2.478,201.867,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1644,307600.246,81960.436,2.451,202.075,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
504,307600.257,81960.34,2.526,202.168,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
678,307600.257,81960.34,2.526,202.168,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1226,307600.212,81960.203,2.482,202.311,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
615,307600.214,81960.197,2.527,202.316,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1352,307690.042,81949.692,0.041,202.355,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
13,307600.241,81960.153,2.552,202.356,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
748,307600.175,81960.104,2.518,202.414,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
367,307600.199,81959.904,2.596,202.608,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1054,307648.787,81954.359,1.85,202.726,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
55,307689.925,81949.26,1.599,202.801,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
208,307648.727,81954.244,1.931,202.849,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
1544,307600.105,81959.66,2.612,202.864,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
393,307600.072,81959.335,2.76,203.19,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
818,307600.071,81959.33,2.637,203.195,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1016,307551.735,81965.771,4.317,203.203,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1750,307648.697,81953.823,1.995,203.269,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1269,307600.103,81959.222,2.701,203.297,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
929,307648.546,81953.727,2.012,203.39,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1492,307600.044,81959.133,2.698,203.394,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
126,307600.041,81959.104,2.795,203.423,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
445,307599.976,81959.054,2.77,203.483,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
273,307551.672,81965.278,4.449,203.7,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1593,307689.775,81948.369,1.346,203.704,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1416,307600.012,81958.797,2.814,203.731,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
1858,307689.755,81948.265,0.343,203.81,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
616,307600.009,81958.707,2.773,203.82,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1122,307551.659,81965.067,4.469,203.911,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
505,307599.935,81958.577,2.823,203.96,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
679,307599.935,81958.577,2.823,203.96,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1804,307551.674,81964.983,4.488,203.992,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
749,307599.976,81958.522,2.839,204.008,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
14,307599.94,81958.51,2.889,204.025,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1353,307689.718,81947.942,-0.024,204.135,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
368,307599.912,81958.277,2.937,204.26,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
209,307648.43,81952.727,2.453,204.395,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
561,307599.813,81957.935,3.054,204.613,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
617,307599.87,81957.842,3.069,204.696,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
